priority,iso3,country,commodity,what_is_needed,current_state,source_to_use,what_it_supports,collected_yes_no
MEDIUM,SUR,Suriname,oil_gas/minerals,Domestic-vs-foreign split,split low-confidence,Suriname EITI country page/report + Staatsolie treasury contribution (https://eiti.org/countries/suriname),Domestic/foreign split: Staatsolie oil domestic; gold via Newmont/Rosebel; direct reported payments,
MEDIUM,ZWE,Zimbabwe,minerals,Domestic-vs-foreign split (+ post/equity if collectable),very rough; royalties-only entry,ZIMRA revenue reports + AFRODAD/Zimbabwe mining fiscal brief (https://www.zimra.co.zw/downloads/category/12-revenue-perfomance-reports),Royalties + mining fiscal regime + rough tax context; weak for full sector CIT,
MEDIUM,CMR,Cameroon,oil_gas,Resource profit-tax rate (low-confidence),rate low-conf (~0.385 negotiated),Cameroon EITI + petroleum code / PSC summaries (https://eiti.org/countries/cameroon),Petroleum fiscal terms; SNH role; state participation / profit-tax assumptions,
LOW,THA,Thailand,oil_gas,Per-year figures for 2016-20 & 2022 (only 2021 sourced and applied flat),low; 2021 DMF aggregate $3.44bn used as representative,Department of Mineral Fuels annual reports (https://www.dmf.go.th/bid19/annaul.html),Petroleum revenue-to-state tables; likely the best source for 2016-2022,
LOW,IRN,Iran,oil_gas,Better government-take series (esp. sanctions years 2019-20),low; derived from EIA export value x take share,EIA Iran country analysis + Washington Institute budget split (https://www.eia.gov/international/content/analysis/countries_long/iran/),Net oil-export-revenue series / budget-revenue proxy esp. for sanctions years,
LOW,POL,Poland,coal/minerals,Govt coal + KGHM copper revenue 2016-22,low,KGHM annual reports + Polish mineral-extraction-tax page (https://kghm.com),KGHM copper/silver extraction tax + income tax; coal needs a separate company/public-account proxy,
LOW,UZB,Uzbekistan,oil_gas/minerals,Govt resource revenue 2016-22,low,USGS Uzbekistan mineral industry + Eurasianet on top taxpayers (https://d9-wret.s3.us-west-2.amazonaws.com/.../myb3-2022-uzbekistan.pdf),Navoi/Almalyk/top-taxpayer proxy; good for rough resource-revenue importance,
LOW,LAO,Laos,minerals,Govt mining revenue 2016-22,very-low ~$0.2-0.4bn/yr,Phu Bia/PanAust contribution brochure + USGS Laos (https://panaust.com.au/wp-content/uploads/2024/02/PBM-Contribution-Brochure-2018.pdf),Mining-company government contributions; usable as a proxy series if no official fiscal data,
LOW,LSO,Lesotho,minerals,Govt diamond revenue 2016-22,very-low ~$0.05-0.12bn/yr; lesotho_revenue_extracted.csv already in raw,Gem Diamonds payments-to-government reports + Letseng technical report (https://www.gemdiamonds.com),Diamond royalties/taxes and the 70/30 Gem/Government ownership split,
LOW,YEM,Yemen,oil_gas,Govt oil revenue 2016-22,low; small; war-disrupted,World Bank Yemen CEM + IMF Yemen statement (https://documents1.worldbank.org/curated/en/099050923091537357/pdf/P17826203eb7ac0030b5540af4456d0dd7c.pdf),Government oil revenue (disrupted/partial) — use as a caveated source,
