ISO3,Country,Income group,Region,reason category,employees + payroll,CCCTB,Three-factor,Double-weighted sales,Sales + employees,# formulas with a loss,loses under ALL formulas,worst loss (any formula),reported sample: worst loss,why
JEY,Jersey,investment_hub,Europe,A,-356.2,-316.4,-317.1,-326.4,-358.7,5,True,-358.7,-268.2,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
BHS,Bahamas,investment_hub,Caribbean/American isl.,A,-239.9,0.0,0.0,0.0,0.0,1,False,-239.9,-152.1,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
GGY,Bailiwick of Guernsey,investment_hub,Europe,A,-85.2,-84.2,-87.5,-88.6,-93.3,5,True,-93.3,-88.9,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
LIE,Liechtenstein,investment_hub,Europe,A,1531.5,603.7,139.2,45.3,-63.6,1,False,-63.6,18.0,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
IOT,British Indian Ocean Territory,investment_hub,Africa,A,-2.6,-2.6,-2.6,-2.6,-2.6,5,True,-2.6,-0.3,Investment hub / tax haven — UT reallocates shifted profit back to where real activity and markets are (intended).
AUS,Australia,high_income,Oceania,B,33544.4,-2219.1,-14463.5,-27498.8,-35813.2,4,False,-35813.2,-26289.7,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
AFG,Afghanistan,low_income,Asia,B,-11370.0,-10362.8,-10192.3,-10211.1,-10561.9,5,True,-11370.0,40.8,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
NGA,Nigeria,lower_middle_income,Africa,B,-9511.5,12990.8,14586.0,22382.3,20377.3,1,False,-9511.5,-3090.9,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
COD,Democratic Republic of the Congo,low_income,Africa,B,-5939.8,-516.9,390.0,-184.1,-2574.0,4,False,-5939.8,248.1,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
TCD,Chad,low_income,Africa,B,-5315.5,-3710.7,-3079.8,-3713.8,-4508.1,5,True,-5315.5,141.5,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
PER,Peru,upper_middle_income,Latin America,B,-4774.3,-563.8,3728.6,306.2,-1159.6,3,False,-4774.3,-3902.9,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
IRQ,Iraq,upper_middle_income,Asia,B,-2838.2,2246.7,2417.2,4431.6,4361.3,1,False,-2838.2,-1804.2,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
MLI,Mali,low_income,Africa,B,-2248.2,-1184.8,-756.8,-955.2,-1261.8,5,True,-2248.2,333.2,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
MRT,Mauritania,lower_middle_income,Africa,B,-1948.2,-1680.4,-1518.0,-1555.0,-1562.7,5,True,-1948.2,33.7,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
TTO,Trinidad and Tobago,high_income,Caribbean/American isl.,B,-346.2,651.5,799.2,881.4,570.4,1,False,-346.2,41.9,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
ETH,Ethiopia,low_income,Africa,B,-265.7,2019.5,2660.0,3825.4,4470.7,1,False,-265.7,788.5,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
BWA,Botswana,upper_middle_income,Africa,B,-235.0,-173.2,-62.3,6.1,145.3,3,False,-235.0,34.4,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
GUY,Guyana,high_income,Caribbean/American isl.,B,-83.6,129.7,184.8,194.9,157.3,1,False,-83.6,-0.9,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
SYR,Syrian Arab Republic,low_income,Asia,B,-11.2,420.0,473.5,695.7,731.9,1,False,-11.2,45.0,Commodity exporter — destination sales send extractive profit to buyer markets; recovers once resources are excluded.
SAU,Saudi Arabia,high_income,Asia,C,-57306.6,-192529.5,-192668.4,-265687.1,-270692.5,5,True,-270692.5,-275501.8,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
CHN,China (People’s Republic of),upper_middle_income,Asia,C,-172275.2,-115329.0,-35216.7,-52128.7,-7840.8,5,True,-172275.2,-91989.8,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
JPN,Japan,high_income,Asia,C,-59174.2,-31741.2,-51303.8,-47406.7,-78444.2,5,True,-78444.2,-131173.1,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
NOR,Norway,high_income,Europe,C,-27455.6,-45036.7,-51868.4,-58213.6,-62242.8,5,True,-62242.8,-50091.3,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
KOR,Korea,high_income,Asia,C,-43574.2,-10360.1,-18459.9,-9010.3,-25094.3,5,True,-43574.2,-2536.8,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
CAN,Canada,high_income,Northern America,C,24177.9,-3520.8,-10647.2,-19279.4,-24844.7,4,False,-24844.7,-29040.5,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
LBY,Libya,upper_middle_income,Africa,C,-15387.0,-12532.0,-12436.3,-11844.4,-12486.1,5,True,-15387.0,-8422.9,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
IDN,Indonesia,upper_middle_income,Asia,C,10079.3,-11649.3,7329.8,-4878.0,13058.4,2,False,-11649.3,-17923.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
TKM,Turkmenistan,upper_middle_income,Asia,C,-9855.7,-8237.3,-8005.5,-7938.0,-8433.0,5,True,-9855.7,10.0,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
IRN,Iran,upper_middle_income,Asia,C,-8874.8,714.1,1046.6,5389.0,5001.1,1,False,-8874.8,504.2,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
DNK,Denmark,high_income,Europe,C,-4750.8,-3337.9,-6492.5,-5568.9,-8681.3,5,True,-8681.3,-11492.3,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
LAO,Lao People’s Democratic Republic,lower_middle_income,Asia,C,-7399.9,-6747.4,-6512.6,-6811.6,-7201.1,5,True,-7399.9,-15.0,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
NPL,Nepal,lower_middle_income,Asia,C,-6509.1,-5490.7,-5257.3,-5029.1,-5082.4,5,True,-6509.1,-125.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
AGO,Angola,lower_middle_income,Africa,C,-6376.3,-1605.1,-1158.6,-752.4,-2223.9,5,True,-6376.3,-4484.3,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
NCL,New Caledonia,high_income,Oceania,C,-5742.9,-5313.5,-5270.9,-5520.8,-5925.2,5,True,-5925.2,-129.0,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
TUR,Türkiye,upper_middle_income,Asia,C,-5835.7,3111.6,9302.8,13613.3,19519.5,1,False,-5835.7,-3870.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
DZA,Algeria,upper_middle_income,Africa,C,-4857.0,1163.3,1701.7,3832.7,3530.4,1,False,-4857.0,-2815.5,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
MYS,Malaysia,upper_middle_income,Asia,C,-1073.3,-4793.8,1425.7,-943.6,4616.9,3,False,-4793.8,-5846.9,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
TJK,Tajikistan,lower_middle_income,Asia,C,-4469.8,-4534.1,-4200.8,-4331.6,-4095.8,5,True,-4534.1,-70.6,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
NER,Niger,low_income,Africa,C,-4480.7,-2979.9,-2720.7,-3061.7,-3888.2,5,True,-4480.7,-21.3,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
NZL,New Zealand,high_income,Oceania,C,2777.7,-2731.6,-3956.9,-3045.0,-672.0,4,False,-3956.9,-1140.5,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
MDV,Maldives,upper_middle_income,Asia,C,-3572.5,-3357.9,-3256.5,-3386.2,-3520.6,5,True,-3572.5,15.3,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
KAZ,Kazakhstan,upper_middle_income,Asia,C,-3506.1,1300.2,2242.3,3582.8,3235.5,1,False,-3506.1,-2123.3,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
EGY,Egypt,lower_middle_income,Africa,C,-3432.0,831.0,3856.8,5181.9,7401.5,1,False,-3432.0,-958.0,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
MNG,Mongolia,upper_middle_income,Asia,C,-2908.6,-2425.6,-2206.7,-2303.3,-2426.5,5,True,-2908.6,211.5,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
PYF,French Polynesia,high_income,Oceania,C,-2746.6,-2576.3,-2566.6,-2651.3,-2814.0,5,True,-2814.0,-40.2,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
SDN,Sudan,low_income,Africa,C,-2759.5,-1914.3,-1368.7,-1644.4,-1812.3,5,True,-2759.5,392.0,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
YEM,Yemen,low_income,Asia,C,-2528.3,-2174.8,-1948.2,-1840.6,-1675.9,5,True,-2528.3,-13.9,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
SLE,Sierra Leone,low_income,Africa,C,-2453.5,-2136.9,-1799.0,-2111.4,-2241.8,5,True,-2453.5,19.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
BFA,Burkina Faso,low_income,Africa,C,-2414.0,-2360.9,-1984.9,-2032.9,-1724.5,5,True,-2414.0,-104.0,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
ISR,Israel,high_income,Asia,C,-2363.3,1693.3,1285.4,4142.6,4474.0,1,False,-2363.3,-519.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
GAB,Gabon,upper_middle_income,Africa,C,-2186.6,-1064.7,-992.8,-1024.4,-1547.5,5,True,-2186.6,-829.5,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
THA,Thailand,upper_middle_income,Asia,C,-1900.6,7232.1,14346.2,19065.8,26132.7,1,False,-1900.6,-2454.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
GHA,Ghana,lower_middle_income,Africa,C,-1595.8,1288.9,1812.8,2386.5,1983.2,1,False,-1595.8,-421.8,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
TGO,Togo,low_income,Africa,C,-1524.4,-1422.9,-1182.5,-1319.9,-1264.7,5,True,-1524.4,16.8,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
ZWE,Zimbabwe,lower_middle_income,Africa,C,-1403.7,-852.6,-567.3,-433.1,-297.6,5,True,-1403.7,-301.7,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
SOM,Somalia,low_income,Africa,C,-1323.2,-1262.9,-1035.9,-1060.4,-855.7,5,True,-1323.2,55.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
GIN,Guinea,lower_middle_income,Africa,C,-1278.3,-977.1,-797.8,-788.5,-762.9,5,True,-1278.3,-51.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
GNB,Guinea-Bissau,low_income,Africa,C,-1247.7,-1155.2,-1072.3,-1167.7,-1230.7,5,True,-1247.7,1.5,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
SWZ,Eswatini,lower_middle_income,Africa,C,-926.0,-1235.0,-1081.5,-1167.2,-944.7,5,True,-1235.0,-398.9,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
QAT,Qatar,high_income,Asia,C,-1186.3,652.0,512.3,1599.7,1742.9,1,False,-1186.3,-729.3,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
PAK,Pakistan,lower_middle_income,Asia,C,-849.9,7479.0,9455.4,13636.9,15613.8,1,False,-849.9,8.9,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
SLB,Solomon Islands,lower_middle_income,Oceania,C,-813.6,-813.1,-750.4,-800.3,-786.5,5,True,-813.6,-0.3,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
UZB,Uzbekistan,lower_middle_income,Asia,C,-801.5,221.3,281.4,739.7,725.4,1,False,-801.5,36.6,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
MWI,Malawi,low_income,Africa,C,482.0,-745.0,139.5,-237.8,894.3,2,False,-745.0,268.2,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
CAF,Central African Republic,low_income,Africa,C,-295.1,-729.1,-364.0,-584.5,-216.8,5,True,-729.1,4.2,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
GNQ,Equatorial Guinea,upper_middle_income,Africa,C,-686.4,-354.8,-334.6,-223.8,-272.9,5,True,-686.4,-218.3,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
GMB,Gambia,low_income,Africa,C,-463.7,-620.1,-420.9,-556.0,-411.5,5,True,-620.1,11.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
TZA,Tanzania,lower_middle_income,Africa,C,-600.0,616.2,1143.1,1671.3,2109.6,1,False,-600.0,184.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
MCO,Monaco,high_income,Europe,C,-196.0,-386.0,-522.6,-545.2,-573.0,5,True,-573.0,-382.8,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
PNG,Papua New Guinea,lower_middle_income,Oceania,C,-534.4,1078.6,1377.0,1215.3,551.1,1,False,-534.4,-215.8,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
MDG,Madagascar,low_income,Africa,C,-420.6,-414.5,-207.0,-200.4,12.2,4,False,-420.6,45.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
URY,Uruguay,high_income,Latin America,C,-367.4,56.4,261.2,536.2,736.0,1,False,-367.4,-113.3,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
BTN,Bhutan,lower_middle_income,Asia,C,-153.6,-337.6,-245.0,-287.9,-143.5,5,True,-337.6,-6.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
CPV,Cabo Verde,upper_middle_income,Africa,C,-156.4,-307.5,-200.6,-285.5,-186.1,5,True,-307.5,6.1,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
KGZ,Kyrgyzstan,lower_middle_income,Asia,C,-290.0,-198.2,-162.7,-156.6,-163.9,5,True,-290.0,51.9,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
ASM,American Samoa,high_income,Oceania,C,-101.7,-275.7,-252.7,-287.7,-212.6,5,True,-287.7,-10.6,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
OMN,Oman,high_income,Asia,C,-258.2,449.6,466.1,841.7,993.9,1,False,-258.2,114.6,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
ECU,Ecuador,upper_middle_income,Latin America,C,-226.3,821.8,1661.2,2163.9,2993.7,1,False,-226.3,-229.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
BIH,Bosnia and Herzegovina,upper_middle_income,Europe,C,-52.3,-212.3,-51.4,-106.5,81.6,4,False,-212.3,49.5,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
COM,Comoros,lower_middle_income,Africa,C,-91.7,-146.0,-113.1,-127.4,-81.7,5,True,-146.0,1.7,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
LSO,Lesotho,lower_middle_income,Africa,C,237.1,-119.5,81.8,-27.6,244.4,2,False,-119.5,21.9,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
SEN,Senegal,lower_middle_income,Africa,C,-115.6,762.0,1012.9,1240.2,1272.7,1,False,-115.6,-9.3,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
COG,Congo,lower_middle_income,Africa,C,-115.2,2040.1,2213.3,1793.9,525.9,1,False,-115.2,523.6,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
GUF,French Guiana,high_income,Caribbean/American isl.,C,-83.2,-58.4,-51.9,-27.5,-9.3,5,True,-83.2,-1.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
BHR,Bahrain,high_income,Asia,C,-54.2,-47.9,-46.3,-47.7,-47.6,5,True,-54.2,-28.7,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
BLZ,Belize,upper_middle_income,Caribbean/American isl.,C,-48.0,41.4,57.6,34.9,-15.9,2,False,-48.0,-4.9,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
SSD,South Sudan,low_income,Africa,C,-33.9,-28.9,40.6,54.0,128.5,2,False,-33.9,8.1,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
AND,Andorra,high_income,Europe,C,-23.2,-6.1,-6.6,-9.0,-22.5,5,True,-23.2,-1.0,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
VUT,Vanuatu,lower_middle_income,Oceania,C,-4.9,-4.3,-4.2,-4.4,-4.8,5,True,-4.9,-0.4,Production / MNE-home economy — books profit at home; destination apportionment moves it toward consumer markets abroad.
MAC,Macau (China),high_income,Asia,D,-5103.3,-6412.6,-6666.7,-7231.3,-7341.4,5,True,-7341.4,-7098.8,"Imputation artefact — the gravity model imputes implausibly large activity (>2x GDP, non-haven); read the reported column."
REU,Réunion,high_income,Africa,D,-3538.7,-4274.2,-4157.0,-4344.6,-4037.3,5,True,-4344.6,0.6,"Imputation artefact — the gravity model imputes implausibly large activity (>2x GDP, non-haven); read the reported column."
TLS,Timor-Leste,lower_middle_income,Asia,D,-1381.0,-1461.5,-1374.5,-1445.1,-1388.0,5,True,-1461.5,-98.3,"Imputation artefact — the gravity model imputes implausibly large activity (>2x GDP, non-haven); read the reported column."
FSM,Micronesia,lower_middle_income,Oceania,D,-862.4,-967.7,-913.5,-950.2,-879.5,5,True,-967.7,-247.0,"Imputation artefact — the gravity model imputes implausibly large activity (>2x GDP, non-haven); read the reported column."
PRK,Democratic People’s Republic of Korea,low_income,Asia,D,929.2,-528.0,243.5,-155.0,965.6,2,False,-528.0,-3.3,"Imputation artefact — the gravity model imputes implausibly large activity (>2x GDP, non-haven); read the reported column."
TON,Tonga,upper_middle_income,Oceania,D,-134.1,-134.7,-129.8,-135.2,-135.4,5,True,-135.4,0.1,"Imputation artefact — the gravity model imputes implausibly large activity (>2x GDP, non-haven); read the reported column."
WSM,Samoa,upper_middle_income,Oceania,D,-122.0,-115.8,-106.7,-111.7,-110.9,5,True,-122.0,11.8,"Imputation artefact — the gravity model imputes implausibly large activity (>2x GDP, non-haven); read the reported column."
MHL,Marshall Islands,upper_middle_income,Oceania,D,-6.8,-6.1,-6.0,-6.3,-7.1,5,True,-7.1,-4.6,"Imputation artefact — the gravity model imputes implausibly large activity (>2x GDP, non-haven); read the reported column."
