# Hand-curated company -> headquarter overrides for the EITI-to-Orbis match (consumed by
# 3_33_match_eiti_companies_to_orbis.py, applied before any automatic matching).
# - match_substring: normalised substring, matched as a contiguous word-run inside the
#   normalised EITI company name. Longest substring wins (the script sorts by length),
#   so row order does not affect matching.
# - canonical_name: the operator/group the payment belongs to (display + Orbis lookup).
# - hq_iso2: headquarter country of that group (ISO2).
# - is_cbcr_filer: False = state-owned vehicle / national oil company that does NOT file
#   CbCR (its domestic payments must not land on a CbCR diagonal cell). Blank = consult
#   the Orbis universe's in_cbcr_universe flag for the canonical name.
# - group: the audit batch / country context the entry came from (documentation only).
# Provenance: the unmatched-value audit of eiti_company_hq_map.csv (~$300B recovered) +
# the A-Z country audit 2026-07-22 (docs/extractive/resource_correction_country_audit.md).
match_substring,canonical_name,hq_iso2,is_cbcr_filer,group
agip,Eni,IT,,
repsol,Repsol,ES,,
bp ,BP,GB,,
kosmos energy,Kosmos Energy,US,,
tullow oil,Tullow Oil,GB,,
woodside,Woodside Energy,AU,,
wintershall,Wintershall Dea,DE,,
wintershall dea,Wintershall Dea,DE,,
spirit energy,Spirit Energy,GB,,
neptune energy,Neptune Energy,GB,,
var energi,Vår Energi,NO,,
vaar energi,Vår Energi,NO,,
aker bp,Aker BP,NO,,
omv,OMV,AT,,
pgnig,PGNiG,PL,,
taqa,TAQA,AE,,
lundin,Lundin Energy,SE,,
dno asa,DNO,NO,,
vaalco,Vaalco Energy,US,,
genel energy,Genel Energy,GB,,
gulf keystone,Gulf Keystone Petroleum,GB,,
siccar point,Siccar Point Energy,GB,,
harbour energy,Harbour Energy,GB,,
ithaca energy,Ithaca Energy,GB,,
serica energy,Serica Energy,GB,,
cnr international,Canadian Natural Resources,CA,,
canadian natural,Canadian Natural Resources,CA,,
petrofac,Petrofac,GB,,
schlumberger,Schlumberger,US,,
halliburton,Halliburton,US,,
baker hughes,Baker Hughes,US,,
technip,TechnipFMC,GB,,
saipem,Saipem,IT,,
subsea 7,Subsea 7,GB,,
aker solutions,Aker Solutions,NO,,
seadrill,Seadrill,GB,,
ukrnafta,Ukrnafta,UA,False,
ukrgazvydobuvannya,Ukrgazvydobuvannya,UA,False,
ukrtransgaz,Ukrtransgaz,UA,False,
ukrtransnafta,Ukrtransnafta,UA,False,
naftogaz,Naftogaz,UA,False,
snim,SNIM,MR,False,
societe nationale industrielle et miniere,SNIM,MR,False,
yinka folawiyo,Yinka Folawiyo Petroleum,NG,False,
seplat,Seplat Energy,NG,False,
oando,Oando,NG,False,
shell petroleum development company,SPDC (Shell),GB,,
spdc,SPDC (Shell),GB,,
addax,Addax Petroleum (Sinopec),CN,,
first e&p,First E&P,NG,False,
basra oil,Basra Oil Company,IQ,False,
missan oil,Missan Oil Company,IQ,False,
midland oil,Midland Oil Company,IQ,False,
south oil company,South Oil Company,IQ,False,
north oil company,North Oil Company,IQ,False,
somo,SOMO (Iraq),IQ,False,
lake asphalt,Lake Asphalt of T&T,TT,False,
trinidad petroleum holdings,Trinidad Petroleum Holdings,TT,False,
heritage petroleum,Heritage Petroleum,TT,False,
national gas company of trinidad,NGC Trinidad,TT,False,
petroleum company of trinidad,Petrotrin,TT,False,
petrotrin,Petrotrin,TT,False,
touchstone,Touchstone Exploration,CA,,
perupetro,Perupetro,PE,False,
petroperu,Petroperu,PE,False,
petroamazonas,Petroamazonas,EC,False,
petroecuador,Petroecuador,EC,False,
oil and natural gas corporation,ONGC,IN,,
ongc videsh,ONGC Videsh,IN,,
ongc,ONGC,IN,,
oil india,Oil India,IN,,
indian oil,Indian Oil Corp,IN,,
reliance industries,Reliance Industries,IN,,
hindustan petroleum,Hindustan Petroleum,IN,,
hpcl,Hindustan Petroleum,IN,,
bharat petroleum,Bharat Petroleum,IN,,
essar oil,Essar Oil,IN,,
cairn,Vedanta / Cairn,GB,,
tupras,Tupras,TR,,
turkish petroleum,TPAO (Turkish Petroleum),TR,False,
tpao,TPAO (Turkish Petroleum),TR,False,
sinochem,Sinochem,CN,,
zhenhua oil,China Zhenhua Oil,CN,,
petrochina,PetroChina,CN,,
china offshore oil,CNOOC,CN,,
unipec,Unipec (Sinopec),CN,,
geo-jade,Geo-Jade Petroleum,CN,,
united energy group,United Energy Group,CN,,
litasco,Litasco (Lukoil),RU,,
nfc africa,CNMC,CN,,
non-ferrous company africa,CNMC,CN,,
cnmc,CNMC,CN,,
china nonferrous,CNMC,CN,,
luanshya copper,Luanshya Copper (CNMC),CN,,
chambishi,Chambishi (CNMC),CN,,
first quantum,First Quantum Minerals,CA,,
kansanshi,First Quantum Minerals,CA,,
kalumbila,First Quantum Minerals,CA,,
konkola copper,Konkola Copper Mines,GB,,
mopani,Mopani Copper Mines,ZM,False,
zccm,ZCCM-IH,ZM,False,
kcm,Konkola Copper Mines,GB,,
lumwana,Lumwana (Barrick),CA,,
pluspetrol,Pluspetrol,AR,,
hochschild,Hochschild Mining,PE,,
buenaventura,Buenaventura,PE,,
southern copper,Southern Copper (Grupo México),MX,,
antamina,Antamina (BHP/Glencore/etc.),AU,,
yanacocha,Yanacocha (Newmont),US,,
las bambas,Las Bambas (MMG),AU,,
mmg ,MMG,AU,,
volcan compania minera,Volcan / Glencore,CH,,
nido petroleum,Nido Petroleum,AU,,
philex,Philex Mining,PH,,
semirara,Semirara Mining (Consunji),PH,,
benguet corporation,Benguet Corp,PH,,
kibali,Kibali (Barrick/AngloGold),CA,,
banro,Banro Corp,CA,,
ivanhoe,Ivanhoe Mines,CA,,
kamoa,Ivanhoe Mines,CA,,
tenke fungurume,CMOC (Tenke Fungurume),CN,,
metalkol,ERG (Metalkol),LU,,
eurasian resources,ERG,LU,,
erg ,ERG,LU,,
boss mining,ERG,LU,,
comide,ERG,LU,,
societe miniere de bakwanga,MIBA,CD,False,
miba,MIBA,CD,False,
gecamines,Gécamines,CD,False,
sodimico,Sodimico,CD,False,
randgold,Barrick (ex-Randgold),CA,,
loulo,Barrick (Loulo-Gounkoto),CA,,
gounkoto,Barrick (Loulo-Gounkoto),CA,,
fekola,B2Gold (Fekola),CA,,
syama,Resolute Mining (Syama),GB,,
resolute mining,Resolute Mining,GB,,
morila,Morila (Firefinch),AU,,
sadiola,Sadiola (Allied Gold),AU,,
essakane,IAMGOLD (Essakane),CA,,
bissa gold,Nordgold (Bissa),RU,,
nordgold,Nordgold,RU,,
semafo,Endeavour Mining (ex-Semafo),GB,,
teranga gold,Endeavour Mining (ex-Teranga),GB,,
roxgold,Fortuna Silver (Roxgold),CA,,
hounde,Endeavour Mining (Houndé),GB,,
netiana,Netiana Mining,BF,False,
sissingue,Perseus Mining (Sissingué),AU,,
yaoure,Perseus Mining (Yaouré),AU,,
centamin,Centamin,GB,,
allied gold,Allied Gold,AU,,
avocet mining,Avocet Mining,GB,,
hummingbird resources,Hummingbird Resources,GB,,
yanfolila,Hummingbird Resources (Yanfolila),GB,,
chirano,Kinross Gold (Chirano),CA,,
tasiast,Kinross Gold (Tasiast),CA,,
goldfields ghana,Gold Fields,ZA,,
damang,Gold Fields (Damang),ZA,,
tarkwa,Gold Fields (Tarkwa),ZA,,
obuasi,AngloGold Ashanti (Obuasi),ZA,,
iduapriem,AngloGold Ashanti (Iduapriem),ZA,,
newmont ghana,Newmont,US,,
ahafo,Newmont (Ahafo),US,,
akyem,Newmont (Akyem),US,,
asanko,Galiano Gold (Asanko),CA,,
galiano,Galiano Gold,CA,,
golden star,Golden Star Resources,US,,
edikan,Perseus Mining (Edikan),AU,,
ghana manganese,Ghana Manganese (Consmin),GB,,
consolidated minerals,Consmin,GB,,
ghana bauxite,Ghana Bauxite,GH,False,
giadec,GIADEC,GH,False,
kabang,Kabanga Nickel,GB,,
petra diamonds,Petra Diamonds,GB,,
williamson diamonds,Petra Diamonds (Williamson),GB,,
acacia mining,Barrick (ex-Acacia),CA,,
north mara,Barrick (North Mara),CA,,
bulyanhulu,Barrick (Bulyanhulu),CA,,
buzwagi,Barrick (Buzwagi),CA,,
geita gold,AngloGold Ashanti (Geita),ZA,,
shanta gold,Shanta Gold,GB,,
songas,Songas (Globeleq),GB,,
pan african energy tanzania,Maurel & Prom (M&P),FR,,
maurel,Maurel & Prom,FR,,
orca exploration,Orca Energy,CA,,
wentworth resources,Wentworth Resources,GB,,
solaris resources,Solaris Resources,CA,,
enami,ENAMI,CL,False,
codelco,Codelco,CL,,
lundin gold,Lundin Gold,CA,,
fruta del norte,Lundin Gold (Fruta del Norte),CA,,
mirador,Tongling/CRCC (Mirador),CN,,
andes petroleum,CNPC/Sinopec (Andes Petroleum),CN,,
petrooriental,CNPC/Sinopec (PetroOriental),CN,,
simandou,Rio Tinto / Winning Consortium (Simandou),GB,,
compagnie des bauxites de guinee,CBG (Alcoa/Rio Tinto/Dadco),US,,
cbg ,CBG,US,,
guinea alumina,Emirates Global Aluminium (GAC),AE,,
ega ,Emirates Global Aluminium,AE,,
rusal,Rusal,RU,,
friguia,Rusal (Friguia),RU,,
societe miniere de boke,SMB-Winning (bauxite),SG,,
smb ,SMB-Winning,SG,,
winning consortium,SMB-Winning,SG,,
nimba,ArcelorMittal / SMFG (Nimba),LU,,
arcelormittal,ArcelorMittal,LU,,
societe aurifere de guinee,SAG (AngloGold),ZA,,
siguiri,AngloGold Ashanti (Siguiri),ZA,,
petromar,Sonangol Pesquisa & Produção,AO,False,
mutanda,Mutanda Mining (Glencore),CH,,DRC (COD) — Glencore + Perenco + Chinese miners + state
kamoto copper,KCC (Glencore),CH,,DRC (COD) — Glencore + Perenco + Chinese miners + state
muanda international oil,MIOC (Perenco),FR,,DRC (COD) — Glencore + Perenco + Chinese miners + state
perenco,Perenco,FR,,DRC (COD) — Glencore + Perenco + Chinese miners + state
perencorep,Perenco-Rep,FR,,DRC (COD) — Glencore + Perenco + Chinese miners + state
teikoku,INPEX (Teikoku),JP,,DRC (COD) — Glencore + Perenco + Chinese miners + state
ruashi,Ruashi Mining (Jinchuan),CN,,DRC (COD) — Glencore + Perenco + Chinese miners + state
congo dongfang,Huayou Cobalt (CDM),CN,,DRC (COD) — Glencore + Perenco + Chinese miners + state
dongfang international mining,Huayou Cobalt (CDM),CN,,DRC (COD) — Glencore + Perenco + Chinese miners + state
amck mining,AMCK / Kinsevere (MMG),AU,,DRC (COD) — Glencore + Perenco + Chinese miners + state
kinsevere,MMG Kinsevere,AU,,DRC (COD) — Glencore + Perenco + Chinese miners + state
musonoie,Musonoie Global (Chengtun),CN,,DRC (COD) — Glencore + Perenco + Chinese miners + state
kalumbwe,Kalumbwe Myunga (Chengtun),CN,,DRC (COD) — Glencore + Perenco + Chinese miners + state
kipoi,Société d'Exploitation de Kipoi (Tiger Resources),AU,,DRC (COD) — Glencore + Perenco + Chinese miners + state
frontier sa,Frontier (ERG),LU,,DRC (COD) — Glencore + Perenco + Chinese miners + state
frontier sprl,Frontier (ERG),LU,,DRC (COD) — Glencore + Perenco + Chinese miners + state
tfm,CMOC Tenke Fungurume,CN,,DRC (COD) — Glencore + Perenco + Chinese miners + state
lirex,Lirex SARL (DRC fuel distributor),CD,False,DRC (COD) — Glencore + Perenco + Chinese miners + state
societe des hydrocarbures du tchad,SHT,TD,False,"Chad (TCD) — SHT (state), CNPC, Glencore (ex-Caracal), TOTCO/ExxonMobil JV"
sht ,SHT,TD,False,"Chad (TCD) — SHT (state), CNPC, Glencore (ex-Caracal), TOTCO/ExxonMobil JV"
societe de raffinage de n,SRN (CNPC+TD),TD,False,"Chad (TCD) — SHT (state), CNPC, Glencore (ex-Caracal), TOTCO/ExxonMobil JV"
griffiths energy,Caracal Energy (Glencore),CH,,"Chad (TCD) — SHT (state), CNPC, Glencore (ex-Caracal), TOTCO/ExxonMobil JV"
caracal energy,Caracal Energy (Glencore),CH,,"Chad (TCD) — SHT (state), CNPC, Glencore (ex-Caracal), TOTCO/ExxonMobil JV"
cnpci,CNPC International,CN,,"Chad (TCD) — SHT (state), CNPC, Glencore (ex-Caracal), TOTCO/ExxonMobil JV"
tchad oil transportation,TOTCO (Chad pipeline),TD,False,"Chad (TCD) — SHT (state), CNPC, Glencore (ex-Caracal), TOTCO/ExxonMobil JV"
totco,TOTCO,TD,False,"Chad (TCD) — SHT (state), CNPC, Glencore (ex-Caracal), TOTCO/ExxonMobil JV"
eepci,ExxonMobil Chad (EEPCI),US,,"Chad (TCD) — SHT (state), CNPC, Glencore (ex-Caracal), TOTCO/ExxonMobil JV"
esso exploration and production chad,ExxonMobil Chad,US,,"Chad (TCD) — SHT (state), CNPC, Glencore (ex-Caracal), TOTCO/ExxonMobil JV"
united hydrocarbon chad,Delonex / United Hydrocarbon,GB,,"Chad (TCD) — SHT (state), CNPC, Glencore (ex-Caracal), TOTCO/ExxonMobil JV"
sogea satom,Vinci Construction (Sogea-Satom),FR,,"Chad (TCD) — SHT (state), CNPC, Glencore (ex-Caracal), TOTCO/ExxonMobil JV"
cnpc niger,CNPC Niger,CN,,Niger (NER) — Orano uranium + CNPC oil + state
somair,Orano (SOMAÏR),FR,,Niger (NER) — Orano uranium + CNPC oil + state
societe des mines de l air,Orano (SOMAÏR),FR,,Niger (NER) — Orano uranium + CNPC oil + state
cominak,Orano (COMINAK),FR,,Niger (NER) — Orano uranium + CNPC oil + state
compagnie miniere d akouta,Orano (COMINAK),FR,,Niger (NER) — Orano uranium + CNPC oil + state
somina,SOMINA (CNNC),CN,,Niger (NER) — Orano uranium + CNPC oil + state
soraz,SORAZ Refinery (CNPC),CN,,Niger (NER) — Orano uranium + CNPC oil + state
societe des mines d azelik,SOMINA (CNNC),CN,,Niger (NER) — Orano uranium + CNPC oil + state
anadarko mocambique,"TotalEnergies (Mozambique LNG, ex-Anadarko)",FR,,Mozambique (MOZ) — Anadarko/Total + Vale + Sasol + Cove/PTT + Gemfields
anadarko,Occidental Petroleum (Anadarko),US,,Mozambique (MOZ) — Anadarko/Total + Vale + Sasol + Cove/PTT + Gemfields
vale mocambique,Vale (Moatize),BR,,Mozambique (MOZ) — Anadarko/Total + Vale + Sasol + Cove/PTT + Gemfields
vale moçambique,Vale (Moatize),BR,,Mozambique (MOZ) — Anadarko/Total + Vale + Sasol + Cove/PTT + Gemfields
cove energy,PTTEP (Cove Energy),TH,,Mozambique (MOZ) — Anadarko/Total + Vale + Sasol + Cove/PTT + Gemfields
rompco,Sasol Gas (ROMPCO),ZA,,Mozambique (MOZ) — Anadarko/Total + Vale + Sasol + Cove/PTT + Gemfields
montepuez,Gemfields (Montepuez Rubies),GB,,Mozambique (MOZ) — Anadarko/Total + Vale + Sasol + Cove/PTT + Gemfields
montepuz rubi,Gemfields (Montepuez Rubies),GB,,Mozambique (MOZ) — Anadarko/Total + Vale + Sasol + Cove/PTT + Gemfields
videocom hidrocarbon,Videocom Hydrocarbon Holding,MZ,False,Mozambique (MOZ) — Anadarko/Total + Vale + Sasol + Cove/PTT + Gemfields
ambatovy,Sumitomo / Korea Resources / Sherritt (Ambatovy),JP,,"Madagascar (MDG) — Ambatovy (Sumitomo+Korea+Sherritt), QMM (Rio Tinto), WISCO (CN)"
dynatec madagascar,Sumitomo (Dynatec / Ambatovy),JP,,"Madagascar (MDG) — Ambatovy (Sumitomo+Korea+Sherritt), QMM (Rio Tinto), WISCO (CN)"
qit madagascar,Rio Tinto (QMM),GB,,"Madagascar (MDG) — Ambatovy (Sumitomo+Korea+Sherritt), QMM (Rio Tinto), WISCO (CN)"
madagascar mineral,Rio Tinto (QMM affiliates),GB,,"Madagascar (MDG) — Ambatovy (Sumitomo+Korea+Sherritt), QMM (Rio Tinto), WISCO (CN)"
wisco,Wuhan Iron & Steel (WISCO),CN,,"Madagascar (MDG) — Ambatovy (Sumitomo+Korea+Sherritt), QMM (Rio Tinto), WISCO (CN)"
guangxin kam wah,WISCO Guangxin Kam Wah,CN,,"Madagascar (MDG) — Ambatovy (Sumitomo+Korea+Sherritt), QMM (Rio Tinto), WISCO (CN)"
mainland mining,Mainland Mining,CN,,"Madagascar (MDG) — Ambatovy (Sumitomo+Korea+Sherritt), QMM (Rio Tinto), WISCO (CN)"
madagascar oil,Madagascar Oil Plc,GB,,"Madagascar (MDG) — Ambatovy (Sumitomo+Korea+Sherritt), QMM (Rio Tinto), WISCO (CN)"
kraoma,KRAOMA (MDG state),MG,False,"Madagascar (MDG) — Ambatovy (Sumitomo+Korea+Sherritt), QMM (Rio Tinto), WISCO (CN)"
pam madagascar,PAM Madagascar (Sherritt/Sumitomo),JP,,"Madagascar (MDG) — Ambatovy (Sumitomo+Korea+Sherritt), QMM (Rio Tinto), WISCO (CN)"
prochimad,Prochimad (DSM),NL,,"Madagascar (MDG) — Ambatovy (Sumitomo+Korea+Sherritt), QMM (Rio Tinto), WISCO (CN)"
somilo,Barrick (Loulo SOMILO),CA,,"Mali (MLI) — Barrick gold, AngloGold, Resolute"
yatela,AngloGold Ashanti / IAMGOLD (Yatela),ZA,,"Mali (MLI) — Barrick gold, AngloGold, Resolute"
semos,AngloGold Ashanti (Sadiola SEMOS),ZA,,"Mali (MLI) — Barrick gold, AngloGold, Resolute"
segala mining,AngloGold Ashanti (Ségala),ZA,,"Mali (MLI) — Barrick gold, AngloGold, Resolute"
somisy,Resolute Mining (Syama SOMISY),GB,,"Mali (MLI) — Barrick gold, AngloGold, Resolute"
semico,Wassoul'Or (SEMICO),ML,False,"Mali (MLI) — Barrick gold, AngloGold, Resolute"
somifi,African Petroleum (SOMIFI),GB,,"Mali (MLI) — Barrick gold, AngloGold, Resolute"
taparko,Nordgold (Taparko SOMITA),RU,,"Burkina Faso (BFA) — Nordgold, Endeavour, Roxgold, Iamgold"
somita,Nordgold (Taparko SOMITA),RU,,"Burkina Faso (BFA) — Nordgold, Endeavour, Roxgold, Iamgold"
belahouro,Nordgold (Bissa SMB),RU,,"Burkina Faso (BFA) — Nordgold, Endeavour, Roxgold, Iamgold"
societe des mines de belahouro,Nordgold (Bissa SMB),RU,,"Burkina Faso (BFA) — Nordgold, Endeavour, Roxgold, Iamgold"
kalsaka mining,Amara Mining (Kalsaka),GB,,"Burkina Faso (BFA) — Nordgold, Endeavour, Roxgold, Iamgold"
burkina mining company,Nordgold (Bissa),RU,,"Burkina Faso (BFA) — Nordgold, Endeavour, Roxgold, Iamgold"
riverstone karma,Riverstone Karma (Volta Resources),CA,,"Burkina Faso (BFA) — Nordgold, Endeavour, Roxgold, Iamgold"
wahgnion,Endeavour Mining (Wahgnion),GB,,"Burkina Faso (BFA) — Nordgold, Endeavour, Roxgold, Iamgold"
bouere dohoun gold,Roxgold (Bouéré-Dohoun),CA,,"Burkina Faso (BFA) — Nordgold, Endeavour, Roxgold, Iamgold"
african minerals,African Minerals (Tonkolili),GB,,"Sierra Leone (SLE) — Tonkolili, Marampa, Koidu, London Mining"
marampa mines,London Mining (Marampa),GB,,"Sierra Leone (SLE) — Tonkolili, Marampa, Koidu, London Mining"
koidu,Octéa Diamonds (Koidu),GB,,"Sierra Leone (SLE) — Tonkolili, Marampa, Koidu, London Mining"
london mining,London Mining,GB,,"Sierra Leone (SLE) — Tonkolili, Marampa, Koidu, London Mining"
sabodala,Endeavour Mining (Sabodala),GB,,"Senegal (SEN) — Endeavour, Eramet, IAMGOLD, Indorama"
petowal mining,"B2Gold (Mako, ex-Toro Gold)",CA,,"Senegal (SEN) — Endeavour, Eramet, IAMGOLD, Indorama"
grande cote,Eramet (TiZir Grande Côte),FR,,"Senegal (SEN) — Endeavour, Eramet, IAMGOLD, Indorama"
grande côte,Eramet (TiZir Grande Côte),FR,,"Senegal (SEN) — Endeavour, Eramet, IAMGOLD, Indorama"
industries chimiques du senegal,ICS (Indorama),IN,,"Senegal (SEN) — Endeavour, Eramet, IAMGOLD, Indorama"
ics ,ICS (Indorama),IN,,"Senegal (SEN) — Endeavour, Eramet, IAMGOLD, Indorama"
simfer,Rio Tinto (Simfer Simandou),GB,,"Guinea (GIN) — Rio Tinto Simandou, AngloGold Siguiri, Chinese bauxite"
compagnie des bauxites de kindia,CBK (state),GN,False,"Guinea (GIN) — Rio Tinto Simandou, AngloGold Siguiri, Chinese bauxite"
dinguiraye,Nordgold (Lefa SMD),RU,,"Guinea (GIN) — Rio Tinto Simandou, AngloGold Siguiri, Chinese bauxite"
chalco guinea,Chinalco / Chalco,CN,,"Guinea (GIN) — Rio Tinto Simandou, AngloGold Siguiri, Chinese bauxite"
compagnie du developpement des mines,Henan Chine Mining,CN,,"Guinea (GIN) — Rio Tinto Simandou, AngloGold Siguiri, Chinese bauxite"
ophir tanzania,Ophir Energy (Tanzania),GB,,"Tanzania (TZA) — Ophir, Resolute, Acacia, Shanta, M&P, state TPDC"
resolute tanzania,Resolute Mining (Golden Pride),GB,,"Tanzania (TZA) — Ophir, Resolute, Acacia, Shanta, M&P, state TPDC"
pangea minerals,Barrick / Acacia (Pangea),CA,,"Tanzania (TZA) — Ophir, Resolute, Acacia, Shanta, M&P, state TPDC"
shanta mining,Shanta Gold,GB,,"Tanzania (TZA) — Ophir, Resolute, Acacia, Shanta, M&P, state TPDC"
panafrican energy tanzania,Maurel & Prom (Songo Songo),FR,,"Tanzania (TZA) — Ophir, Resolute, Acacia, Shanta, M&P, state TPDC"
m p exploration production tanzania,Maurel & Prom (M&P),FR,,"Tanzania (TZA) — Ophir, Resolute, Acacia, Shanta, M&P, state TPDC"
tanzania petroleum development,TPDC (state),TZ,False,"Tanzania (TZA) — Ophir, Resolute, Acacia, Shanta, M&P, state TPDC"
midroc,MIDROC (Al Amoudi),SA,,"Ethiopia (ETH) — MIDROC, Poly-GCL, Dangote, Delonex"
midrock,MIDROC (Al Amoudi),SA,,"Ethiopia (ETH) — MIDROC, Poly-GCL, Dangote, Delonex"
poly gcl,Poly-GCL Petroleum,CN,,"Ethiopia (ETH) — MIDROC, Poly-GCL, Dangote, Delonex"
dangote,Dangote Industries,NG,,"Ethiopia (ETH) — MIDROC, Poly-GCL, Dangote, Delonex"
delonex,Delonex Energy,GB,,"Ethiopia (ETH) — MIDROC, Poly-GCL, Dangote, Delonex"
newage ethiopia,New Age Energy,GB,,"Ethiopia (ETH) — MIDROC, Poly-GCL, Dangote, Delonex"
societe nouvelle des phosphates du togo,SNPT (state),TG,False,"Togo (TGO) — SNPT (state), HeidelbergCement, WACEM"
snpt,SNPT (state),TG,False,"Togo (TGO) — SNPT (state), HeidelbergCement, WACEM"
scantogo,HeidelbergMaterials (Scantogo),DE,,"Togo (TGO) — SNPT (state), HeidelbergCement, WACEM"
wacem,WACEM (Heidelberg / Diamond Cement),IN,,"Togo (TGO) — SNPT (state), HeidelbergCement, WACEM"
bb eau vitale,Eau Vitale (BB),TG,False,"Togo (TGO) — SNPT (state), HeidelbergCement, WACEM"
mauritanian copper mines,First Quantum (MCM Guelb Moghrein),CA,,Mauritania (MRT) — First Quantum + state
mauritarian copper mines,First Quantum (MCM Guelb Moghrein),CA,,Mauritania (MRT) — First Quantum + state
mcm ,First Quantum (MCM),CA,,Mauritania (MRT) — First Quantum + state
societe mauritanienne des hydrocarbures,SMHPM (state),MR,False,Mauritania (MRT) — First Quantum + state
smhpm,SMHPM (state),MR,False,Mauritania (MRT) — First Quantum + state
dolphin geophysical,Dolphin Geophysical (defunct),NO,,Mauritania (MRT) — First Quantum + state
capricorn,Capricorn Energy (ex-Cairn),GB,,Mauritania (MRT) — First Quantum + state
unipec,Sinopec UNIPEC,CN,,Iraq (IRQ) — oil traders (huge magnitudes from SOMO sales)
totsa,TotalEnergies Trading (TOTSA),FR,,Iraq (IRQ) — oil traders (huge magnitudes from SOMO sales)
total oil trading,TotalEnergies Trading (TOTSA),FR,,Iraq (IRQ) — oil traders (huge magnitudes from SOMO sales)
indian oil,Indian Oil Corporation,IN,,Iraq (IRQ) — oil traders (huge magnitudes from SOMO sales)
jx nippon,ENEOS / JX Nippon,JP,,Iraq (IRQ) — oil traders (huge magnitudes from SOMO sales)
toyota tsusho,Toyota Tsusho,JP,,Iraq (IRQ) — oil traders (huge magnitudes from SOMO sales)
